From country,To country,Jury A,Jury B,Jury C,Jury D,Jury E,Jury Rank,Televote Rank,Jury Points,Televote Points,Competition
Estonia,The Netherlands,8,4,4,7,13,5,12,6,0,2016Grand
Estonia,Azerbaijan,14,15,20,21,18,19,18,0,0,2016Grand
Estonia,Hungary,19,2,19,26,11,16,11,0,0,2016Grand
Estonia,Italy,10,6,10,24,9,11,13,0,0,2016Grand
Estonia,Israel,25,21,18,25,14,24,22,0,0,2016Grand
Estonia,Bulgaria,20,17,24,17,21,22,14,0,0,2016Grand
Estonia,Sweden,2,3,1,1,1,1,2,12,10,2016Grand
Estonia,Germany,21,20,25,16,22,25,23,0,0,2016Grand
Estonia,France,17,1,9,15,15,10,9,1,2,2016Grand
Estonia,Poland,22,9,23,22,23,23,10,0,1,2016Grand
Estonia,Australia,3,11,2,5,7,2,7,10,4,2016Grand
Estonia,Cyprus,12,5,13,19,6,7,8,4,3,2016Grand
Estonia,Serbia,26,24,26,20,24,26,26,0,0,2016Grand
Estonia,Lithuania,7,14,8,9,2,6,6,5,5,2016Grand
Estonia,Croatia,11,19,16,12,5,13,24,0,0,2016Grand
Estonia,Russia,16,10,11,18,26,18,1,0,12,2016Grand
Estonia,Spain,24,25,15,14,10,20,17,0,0,2016Grand
Estonia,Latvia,4,7,7,8,4,3,4,8,7,2016Grand
Estonia,Ukraine,1,8,3,3,20,4,3,7,8,2016Grand
Estonia,Malta,6,22,6,6,17,9,20,2,0,2016Grand
Estonia,Georgia,23,26,22,2,3,15,15,0,0,2016Grand
Estonia,Austria,9,16,21,23,25,21,5,0,6,2016Grand
Estonia,United Kingdom,5,13,12,10,16,8,21,3,0,2016Grand
Estonia,Armenia,15,12,14,11,8,12,16,0,0,2016Grand
F.Y.R. Macedonia,Belgium,19,7,11,4,13,7,7,4,4,2016Grand
F.Y.R. Macedonia,Czech Republic,20,15,10,11,18,17,25,0,0,2016Grand
F.Y.R. Macedonia,The Netherlands,5,8,24,2,24,9,19,2,0,2016Grand
F.Y.R. Macedonia,Azerbaijan,21,16,8,12,10,10,24,1,0,2016Grand
F.Y.R. Macedonia,Hungary,22,24,12,13,8,20,14,0,0,2016Grand
F.Y.R. Macedonia,Italy,11,17,21,14,21,22,10,0,1,2016Grand
F.Y.R. Macedonia,Israel,14,6,7,15,12,6,16,5,0,2016Grand
F.Y.R. Macedonia,Bulgaria,6,4,4,3,7,2,2,10,10,2016Grand
F.Y.R. Macedonia,Sweden,10,13,23,1,22,13,15,0,0,2016Grand
F.Y.R. Macedonia,Germany,18,25,17,16,23,24,23,0,0,2016Grand
F.Y.R. Macedonia,France,12,14,19,17,11,16,11,0,0,2016Grand
F.Y.R. Macedonia,Poland,2,23,9,18,17,12,9,0,2,2016Grand
F.Y.R. Macedonia,Australia,7,3,3,9,3,3,8,8,3,2016Grand
F.Y.R. Macedonia,Cyprus,23,18,25,19,25,25,17,0,0,2016Grand
F.Y.R. Macedonia,Serbia,3,2,2,20,1,4,1,7,12,2016Grand
F.Y.R. Macedonia,Lithuania,24,22,5,21,5,19,18,0,0,2016Grand
F.Y.R. Macedonia,Croatia,9,11,6,7,14,5,6,6,5,2016Grand
F.Y.R. Macedonia,Russia,1,9,18,22,19,11,3,0,8,2016Grand
F.Y.R. Macedonia,Spain,13,21,20,6,9,14,20,0,0,2016Grand
F.Y.R. Macedonia,Latvia,17,5,22,10,6,8,13,3,0,2016Grand
F.Y.R. Macedonia,Ukraine,4,1,1,5,2,1,5,12,6,2016Grand
F.Y.R. Macedonia,Malta,25,19,14,23,15,23,21,0,0,2016Grand
F.Y.R. Macedonia,Georgia,26,20,26,24,26,26,26,0,0,2016Grand
F.Y.R. Macedonia,Austria,8,10,13,25,20,18,12,0,0,2016Grand
F.Y.R. Macedonia,United Kingdom,15,26,16,8,16,21,22,0,0,2016Grand
F.Y.R. Macedonia,Armenia,16,12,15,26,4,15,4,0,7,2016Grand
Finland,Belgium,18,22,14,19,17,22,17,0,0,2016Grand
Finland,Czech Republic,14,6,7,16,7,8,22,3,0,2016Grand
Finland,The Netherlands,4,2,8,7,8,2,13,10,0,2016Grand
